Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FAQ Management,Chrome 83.0.4103.61,,,2020-05-29 15:26:10,2020-05-29 15:28:26,"2m - 16,322s",FAILED
,,,,,,,
Test Cases/Rizka/FAQ Management/FAQ Management - Edit FAQ,Chrome 83.0.4103.61,,,2020-05-29 15:26:11,2020-05-29 15:28:26,"2m - 14,890s",FAILED
"callTestCase(findTestCase(""Rizka/MainLogin""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,,2020-05-29 15:26:14,2020-05-29 15:27:09,"54,912s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnFAQManagement""))",Chrome 83.0.4103.61,,,2020-05-29 15:27:09,2020-05-29 15:27:11,"1,561s",PASSED
delay(7),Chrome 83.0.4103.61,,,2020-05-29 15:27:11,2020-05-29 15:27:18,"7,007s",PASSED
"setText(findTestObject(""Rizka/FAQ Management/inputSearchFAQ""), questionBefore)",Chrome 83.0.4103.61,,,2020-05-29 15:27:18,2020-05-29 15:27:19,"1,849s",PASSED
"sendKeys(findTestObject(""Rizka/FAQ Management/inputSearchFAQ""), Keys.chord(ENTER))",Chrome 83.0.4103.61,,,2020-05-29 15:27:19,2020-05-29 15:27:20,"0,704s",PASSED
delay(7),Chrome 83.0.4103.61,,,2020-05-29 15:27:20,2020-05-29 15:27:27,"7,007s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnSettings""))",Chrome 83.0.4103.61,,,2020-05-29 15:27:27,2020-05-29 15:27:28,"0,795s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnEdit""))",Chrome 83.0.4103.61,,,2020-05-29 15:27:28,2020-05-29 15:27:29,"0,638s",PASSED
delay(3),Chrome 83.0.4103.61,,,2020-05-29 15:27:29,2020-05-29 15:27:32,"3,005s",PASSED
"setText(findTestObject(""Rizka/FAQ Management/inputEditQuestion""), questionAfter)",Chrome 83.0.4103.61,,,2020-05-29 15:27:32,2020-05-29 15:27:32,"0,582s",PASSED
"setText(findTestObject(""Rizka/FAQ Management/inputEditAns""), answer)",Chrome 83.0.4103.61,,,2020-05-29 15:27:32,2020-05-29 15:27:33,"0,569s",PASSED
"if (condition == ""passed"")",Chrome 83.0.4103.61,,,2020-05-29 15:27:33,2020-05-29 15:28:26,"53,423s",FAILED
