Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FAQ Management,Chrome 81.0.4044.138,,,2020-05-28 23:27:32,2020-05-28 23:33:06,"5m - 34,321s",PASSED
,,,,,,,
Test Cases/Rizka/FAQ Management/FAQ Management - Tambah FAQ,Chrome 81.0.4044.138,,,2020-05-28 23:27:33,2020-05-28 23:28:46,"1m - 13,083s",PASSED
"callTestCase(findTestCase(""Rizka/MainLogin""), [:], STOP_ON_FAILURE)",Chrome 81.0.4044.138,,,2020-05-28 23:27:34,2020-05-28 23:28:28,"54,346s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnFAQManagement""))",Chrome 81.0.4044.138,,,2020-05-28 23:28:28,2020-05-28 23:28:31,"2,339s",PASSED
delay(7),Chrome 81.0.4044.138,,,2020-05-28 23:28:31,2020-05-28 23:28:38,"7,006s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnTambahFAQ""))",Chrome 81.0.4044.138,,,2020-05-28 23:28:38,2020-05-28 23:28:38,"0,531s",PASSED
"setText(findTestObject(""Rizka/FAQ Management/inputQuestion""), question)",Chrome 81.0.4044.138,,,2020-05-28 23:28:38,2020-05-28 23:28:39,"0,937s",PASSED
"setText(findTestObject(""Rizka/FAQ Management/inputAnswer""), answer)",Chrome 81.0.4044.138,,,2020-05-28 23:28:39,2020-05-28 23:28:40,"0,718s",PASSED
"if (condition == ""passed"")",Chrome 81.0.4044.138,,,2020-05-28 23:28:40,2020-05-28 23:28:46,"6,139s",PASSED
,,,,,,,
Test Cases/Rizka/FAQ Management/FAQ Management - Tambah FAQ,Chrome 81.0.4044.138,,,2020-05-28 23:28:46,2020-05-28 23:29:49,"1m - 3,063s",PASSED
"callTestCase(findTestCase(""Rizka/MainLogin""), [:], STOP_ON_FAILURE)",Chrome 81.0.4044.138,,,2020-05-28 23:28:46,2020-05-28 23:29:37,"50,611s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnFAQManagement""))",Chrome 81.0.4044.138,,,2020-05-28 23:29:37,2020-05-28 23:29:37,"0,663s",PASSED
delay(7),Chrome 81.0.4044.138,,,2020-05-28 23:29:37,2020-05-28 23:29:44,"7,005s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnTambahFAQ""))",Chrome 81.0.4044.138,,,2020-05-28 23:29:44,2020-05-28 23:29:45,"0,955s",PASSED
"setText(findTestObject(""Rizka/FAQ Management/inputQuestion""), question)",Chrome 81.0.4044.138,,,2020-05-28 23:29:45,2020-05-28 23:29:46,"0,954s",PASSED
"setText(findTestObject(""Rizka/FAQ Management/inputAnswer""), answer)",Chrome 81.0.4044.138,,,2020-05-28 23:29:46,2020-05-28 23:29:47,"0,582s",PASSED
"if (condition == ""passed"")",Chrome 81.0.4044.138,,,2020-05-28 23:29:47,2020-05-28 23:29:47,"0,003s",PASSED
