Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FAQ Management,Chrome 83.0.4103.61,,,2020-05-29 14:04:08,2020-05-29 14:05:34,"1m - 26,156s",ERROR
,,,,,,,
Test Cases/Rizka/FAQ Management/FAQ Management - Edit FAQ,Chrome 83.0.4103.61,,,2020-05-29 14:04:09,2020-05-29 14:05:34,"1m - 25,040s",ERROR
"callTestCase(findTestCase(""Rizka/MainLogin""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.61,,,2020-05-29 14:04:10,2020-05-29 14:04:59,"48,825s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnFAQManagement""))",Chrome 83.0.4103.61,,,2020-05-29 14:04:59,2020-05-29 14:05:02,"2,997s",PASSED
delay(7),Chrome 83.0.4103.61,,,2020-05-29 14:05:02,2020-05-29 14:05:09,"7,007s",PASSED
"setText(findTestObject(""Rizka/FAQ Management/inputSearchFAQ""), questionBefore)",Chrome 83.0.4103.61,,,2020-05-29 14:05:09,2020-05-29 14:05:10,"0,777s",PASSED
"sendKeys(findTestObject(""Rizka/FAQ Management/inputSearchFAQ""), Keys.chord(ENTER))",Chrome 83.0.4103.61,,,2020-05-29 14:05:10,2020-05-29 14:05:10,"0,524s",PASSED
delay(7),Chrome 83.0.4103.61,,,2020-05-29 14:05:10,2020-05-29 14:05:17,"7,009s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnSettings""))",Chrome 83.0.4103.61,,,2020-05-29 14:05:17,2020-05-29 14:05:18,"0,530s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnEdit""))",Chrome 83.0.4103.61,,,2020-05-29 14:05:18,2020-05-29 14:05:18,"0,643s",PASSED
delay(3),Chrome 83.0.4103.61,,,2020-05-29 14:05:18,2020-05-29 14:05:21,"3,006s",PASSED
"setText(findTestObject(""Rizka/FAQ Management/inputEditQuestion""), questionAfter)",Chrome 83.0.4103.61,,,2020-05-29 14:05:21,2020-05-29 14:05:22,"0,607s",PASSED
"setText(findTestObject(""Rizka/FAQ Management/inputEditAns""), answer)",Chrome 83.0.4103.61,,,2020-05-29 14:05:22,2020-05-29 14:05:23,"0,502s",PASSED
"if (condition == ""passed"")",Chrome 83.0.4103.61,,,2020-05-29 14:05:23,2020-05-29 14:05:23,"0,001s",PASSED
"else if (condition == ""cancel"")",Chrome 83.0.4103.61,,,2020-05-29 14:05:23,2020-05-29 14:05:23,"0,002s",PASSED
else,Chrome 83.0.4103.61,,,2020-05-29 14:05:23,2020-05-29 14:05:34,"11,433s",PASSED
