Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FAQ Management,Chrome 81.0.4044.138,,,2020-05-28 20:37:54,2020-05-28 20:40:03,"2m - 8,548s",FAILED
,,,,,,,
Test Cases/Rizka/FAQ Management/FAQ Management - Tambah FAQ,Chrome 81.0.4044.138,,,2020-05-28 20:37:55,2020-05-28 20:40:03,"2m - 7,697s",FAILED
"callTestCase(findTestCase(""Rizka/MainLogin""), [:], STOP_ON_FAILURE)",Chrome 81.0.4044.138,,,2020-05-28 20:37:56,2020-05-28 20:39:07,"1m - 10,309s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnFAQManagement""))",Chrome 81.0.4044.138,,,2020-05-28 20:39:07,2020-05-28 20:39:09,"2,164s",PASSED
delay(7),Chrome 81.0.4044.138,,,2020-05-28 20:39:09,2020-05-28 20:39:16,"7,002s",PASSED
"click(findTestObject(""Rizka/FAQ Management/btnTambahFAQ""))",Chrome 81.0.4044.138,,,2020-05-28 20:39:16,2020-05-28 20:39:16,"0,634s",PASSED
"setText(findTestObject(""Rizka/FAQ Management/inputQuestion""), question)",Chrome 81.0.4044.138,,,2020-05-28 20:39:16,2020-05-28 20:40:03,"46,546s",FAILED
